DATA;DESCRICAO;CATEGORIA;SUBCATEGORIA;VALOR
2026-05-20;Kindle Unlimited Amazon;Lazer;Leitura;19.9
2026-05-10;Mensalidade Faculdade Estácio;Estudo;Faculdade;148.24
2026-05-10;iFood Club;Lazer;Assinatura;5.95
2026-05-10;Jeff Cândido;Saúde;Plano Academia;60.0
2026-04-20;Kindle Unlimited Amazon;Lazer;Leitura;19.9
2026-04-10;Mensalidade Faculdade Estácio;Estudo;Faculdade;148.24
2026-04-10;iFood Club;Lazer;Assinatura;5.95
2026-04-10;Jeff Cândido;Saúde;Plano Academia;60.0
2026-04-09;Roupas Micaelly Mih Store;Vestuário;Roupas;13.03
2026-04-09;MSN Indústria e Comércio de Roupas;Vestuário;Roupas;52.58
2026-03-20;Kindle Unlimited Amazon;Lazer;Leitura;19.9
2026-03-10;Mensalidade Faculdade Estácio;Estudo;Faculdade;148.24
2026-03-10;iFood Club;Lazer;Assinatura;5.95
2026-03-10;Jeff Cândido;Saúde;Plano Academia;60.0
2026-03-09;Roupas Micaelly Mih Store;Vestuário;Roupas;13.03
2026-03-09;MSN Indústria e Comércio de Roupas;Vestuário;Roupas;52.58
2026-03-08;Roupas Micaelly Mih Store;Vestuário;Roupas;26.8
2026-03-01;Amazon Livros;Lazer;Leitura;36.43
2026-03-01;Shopee Lojinhamiau;Lazer;Papelaria;26.56
2026-02-20;Kindle Unlimited Amazon;Lazer;Leitura;19.9
2026-02-10;Mensalidade Faculdade Estácio;Estudo;Faculdade;148.24
2026-02-10;iFood Club;Lazer;Assinatura;5.95
2026-02-10;Jeff Cândido;Saúde;Plano Academia;60.0
2026-02-09;Roupas Micaelly Mih Store;Vestuário;Roupas;13.03
2026-02-09;MSN Indústria e Comércio de Roupas;Vestuário;Roupas;52.58
2026-02-08;Roupas Micaelly Mih Store;Vestuário;Roupas;26.8
2026-02-01;Amazon Livros;Lazer;Leitura;36.43
2026-02-01;Amazon Livros;Lazer;Leitura;14.36
2026-02-01;Drogaria Ultra Popular;Saúde;Medicamentos;4.5
2026-02-01;Amazon Livros;Lazer;Leitura;12.38
2026-02-01;Shopee Lojinhamiau;Lazer;Papelaria;26.56
2026-02-01;Usevittal;Vestuário;Sapatos;46.3
2026-01-20;Kindle Unlimited Amazon;Lazer;Leitura;19.9
2026-01-10;Mensalidade Faculdade Estácio;Estudo;Faculdade;148.24
2026-01-10;iFood Club;Lazer;Assinatura;5.95
2026-01-10;Jeff Cândido;Saúde;Plano Academia;60.0
2026-01-09;Vinishop LTDA;Beleza;Cosméticos;12.5
2026-01-09;Roupas Micaelly Mih Store;Vestuário;Roupas;13.03
2026-01-09;MSN Indústria e Comércio de Roupas;Vestuário;Roupas;52.58
2026-01-08;Roupas Micaelly Mih Store;Vestuário;Roupas;26.8
2026-01-01;Amazon Livros;Lazer;Leitura;36.43
2026-01-01;Amazon Livros;Lazer;Leitura;14.36
2026-01-01;Drogaria Ultra Popular;Saúde;Medicamentos;4.5
2026-01-01;Amazon Livros;Lazer;Leitura;12.38
2026-01-01;Shopee Lojinhamiau;Lazer;Papelaria;26.56
2026-01-01;Usevittal;Vestuário;Sapatos;46.3
2025-12-20;Kindle Unlimited Amazon;Lazer;Leitura;19.9
2025-12-10;Mensalidade Faculdade Estácio;Estudo;Faculdade;148.24
2025-12-10;iFood Club;Lazer;Assinatura;5.95
2025-12-10;Jeff Cândido;Saúde;Plano Academia;60.0
2025-12-09;Vinishop LTDA;Beleza;Cosméticos;12.5
2025-12-09;Biopharma;Saúde;Medicamentos;21.35
2025-12-09;Roupas Micaelly Mih Store;Vestuário;Roupas;13.03
2025-12-09;MSN Indústria e Comércio de Roupas;Vestuário;Roupas;52.58
2025-12-08;Roupas Micaelly Mih Store;Vestuário;Roupas;26.8
2025-12-01;Shopee Brendaturinipa Papelaria;Lazer;Papelaria;13.94
2025-12-01;Amazon Livros;Lazer;Leitura;36.43
2025-12-01;Amanda Cílios;Beleza;Cílios;9.64
2025-12-01;Amazon Livros;Lazer;Leitura;14.36
2025-12-01;Drogaria Ultra Popular;Saúde;Medicamentos;4.5
2025-12-01;Amazon Livros;Lazer;Leitura;12.38
2025-12-01;Shopee Lojinhamiau;Lazer;Papelaria;26.56
2025-12-01;Usevittal;Vestuário;Sapatos;46.3
2025-12-01;Shopee Plannetstudio;Lazer;Caderninhos;20.52
2025-11-20;Kindle Unlimited Amazon;Lazer;Leitura;19.9
2025-11-10;Mensalidade Faculdade Estácio;Estudo;Faculdade;148.24
2025-11-10;iFood Club;Lazer;Assinatura;5.95
2025-11-10;Jeff Cândido;Saúde;Plano Academia;60.0
2025-11-09;Vinishop LTDA;Beleza;Cosméticos;12.5
2025-11-09;Roupas Nayara Marques;Vestuário;Roupas de Academia;48.33
2025-11-09;Biopharma;Saúde;Medicamentos;21.35
2025-11-09;Roupas Micaelly Mih Store;Vestuário;Roupas;13.03
2025-11-09;MSN Indústria e Comércio de Roupas;Vestuário;Roupas;52.58
2025-11-09;Jeff Cândido;Saúde;Plano Academia;10.47
2025-11-08;Roupas Mari Amaral;Vestuário;Roupas;17.64
2025-11-08;Roupas Micaelly Mih Store;Vestuário;Roupas;26.8
2025-11-08;Pagarme Pagamentos SA;Desconhecido;Desconhecido;57.73
2025-11-08;Drogaria Noroeste;Saúde;Medicamentos;30.49
